,Cleaned Reactor Size,Scenario,Year,LCOE
0,Large,Advanced,2030,79.56566779812015
1,Large,Advanced,2031,77.08589758867305
2,Large,Advanced,2032,74.60612737922595
3,Large,Advanced,2033,72.12635716977884
4,Large,Advanced,2034,69.64658696033175
5,Large,Advanced,2035,67.16681675088465
6,Large,Advanced,2036,65.18300058332699
7,Large,Advanced,2037,63.1991844157693
8,Large,Advanced,2038,61.215368248211625
9,Large,Advanced,2039,59.23155208065395
10,Large,Advanced,2040,57.24773591309627
11,Large,Advanced,2041,56.25582782931743
12,Large,Advanced,2042,55.263919745538594
13,Large,Advanced,2043,54.27201166175976
14,Large,Advanced,2044,53.28010357798092
15,Large,Advanced,2045,52.28819549420207
16,Large,Advanced,2046,51.79224145231266
17,Large,Advanced,2047,51.29628741042324
18,Large,Advanced,2048,50.80033336853382
19,Large,Advanced,2049,50.3043793266444
20,Large,Advanced,2050,49.80842528475498
21,Large,Moderate,2030,96.91955170031575
22,Large,Moderate,2031,96.38573430824223
23,Large,Moderate,2032,95.85191691616868
24,Large,Moderate,2033,95.31809952409516
25,Large,Moderate,2034,94.7842821320216
26,Large,Moderate,2035,94.25046473994804
27,Large,Moderate,2036,92.64901256372744
28,Large,Moderate,2037,91.04756038750682
29,Large,Moderate,2038,89.44610821128619
30,Large,Moderate,2039,87.84465603506557
31,Large,Moderate,2040,86.24320385884495
32,Large,Moderate,2041,85.17556907469788
33,Large,Moderate,2042,84.10793429055079
34,Large,Moderate,2043,83.04029950640371
35,Large,Moderate,2044,81.97266472225662
36,Large,Moderate,2045,80.90502993810954
37,Large,Moderate,2046,79.83739515396246
38,Large,Moderate,2047,78.76976036981539
39,Large,Moderate,2048,77.7021255856683
40,Large,Moderate,2049,76.63449080152122
41,Large,Moderate,2050,75.56685601737414
42,Large,Conservative,2030,136.83730336684624
43,Large,Conservative,2031,136.83730336684624
44,Large,Conservative,2032,136.83730336684624
45,Large,Conservative,2033,136.83730336684624
46,Large,Conservative,2034,136.83730336684624
47,Large,Conservative,2035,136.83730336684624
48,Large,Conservative,2036,136.21908657280275
49,Large,Conservative,2037,135.60086977875926
50,Large,Conservative,2038,134.98265298471577
51,Large,Conservative,2039,134.36443619067228
52,Large,Conservative,2040,133.7462193966288
53,Large,Conservative,2041,131.89156901449832
54,Large,Conservative,2042,130.03691863236782
55,Large,Conservative,2043,128.18226825023734
56,Large,Conservative,2044,126.32761786810687
57,Large,Conservative,2045,124.4729674859764
58,Large,Conservative,2046,122.61831710384592
59,Large,Conservative,2047,120.76366672171544
60,Large,Conservative,2048,118.90901633958497
61,Large,Conservative,2049,117.05436595745448
62,Large,Conservative,2050,115.19971557532402
63,Small,Advanced,2030,79.30978379306654
64,Small,Advanced,2031,75.08144163066603
65,Small,Advanced,2032,70.8530994682655
66,Small,Advanced,2033,66.62475730586499
67,Small,Advanced,2034,62.396415143464466
68,Small,Advanced,2035,58.16807298106395
69,Small,Advanced,2036,56.75862559359711
70,Small,Advanced,2037,55.34917820613026
71,Small,Advanced,2038,53.93973081866342
72,Small,Advanced,2039,52.53028343119658
73,Small,Advanced,2040,51.120836043729746
74,Small,Advanced,2041,50.65102024790747
75,Small,Advanced,2042,50.18120445208518
76,Small,Advanced,2043,49.711388656262905
77,Small,Advanced,2044,49.24157286044062
78,Small,Advanced,2045,48.77175706461834
79,Small,Advanced,2046,48.301941268796064
80,Small,Advanced,2047,47.83212547297378
81,Small,Advanced,2048,47.3623096771515
82,Small,Advanced,2049,46.89249388132922
83,Small,Advanced,2050,46.422678085506945
84,Small,Moderate,2030,109.44283321180838
85,Small,Moderate,2031,106.51197535709987
86,Small,Moderate,2032,103.58111750239135
87,Small,Moderate,2033,100.65025964768286
88,Small,Moderate,2034,97.71940179297435
89,Small,Moderate,2035,94.78854393826583
90,Small,Moderate,2036,92.34616239267541
91,Small,Moderate,2037,89.90378084708499
92,Small,Moderate,2038,87.46139930149457
93,Small,Moderate,2039,85.01901775590414
94,Small,Moderate,2040,82.57663621031371
95,Small,Moderate,2041,81.11120728295946
96,Small,Moderate,2042,79.6457783556052
97,Small,Moderate,2043,78.18034942825095
98,Small,Moderate,2044,76.71492050089671
99,Small,Moderate,2045,75.24949157354244
100,Small,Moderate,2046,74.27253895530627
101,Small,Moderate,2047,73.2955863370701
102,Small,Moderate,2048,72.31863371883395
103,Small,Moderate,2049,71.34168110059777
104,Small,Moderate,2050,70.3647284823616
105,Small,Conservative,2030,145.4204658481841
106,Small,Conservative,2031,144.39086794557326
107,Small,Conservative,2032,143.36127004296242
108,Small,Conservative,2033,142.33167214035157
109,Small,Conservative,2034,141.30207423774073
110,Small,Conservative,2035,140.2724763351299
111,Small,Conservative,2036,137.18368262729737
112,Small,Conservative,2037,134.09488891946486
113,Small,Conservative,2038,131.00609521163236
114,Small,Conservative,2039,127.91730150379985
115,Small,Conservative,2040,124.82850779596734
116,Small,Conservative,2041,122.76931199074566
117,Small,Conservative,2042,120.710116185524
118,Small,Conservative,2043,118.65092038030231
119,Small,Conservative,2044,116.59172457508066
120,Small,Conservative,2045,114.53252876985897
121,Small,Conservative,2046,112.98813191594273
122,Small,Conservative,2047,111.44373506202648
123,Small,Conservative,2048,109.89933820811021
124,Small,Conservative,2049,108.35494135419397
125,Small,Conservative,2050,106.8105445002777
