Scenario,Class,Technology,Year,Value
Advanced,4,Technology 1,2022,32.79
Advanced,4,Technology 1,2023,33.72
Advanced,4,Technology 1,2024,31.33
Advanced,4,Technology 1,2025,29.07
Advanced,4,Technology 1,2026,27.9
Advanced,4,Technology 1,2027,26.75
Advanced,4,Technology 1,2028,25.64
Advanced,4,Technology 1,2029,24.56
Advanced,4,Technology 1,2030,23.51
Advanced,4,Technology 1,2031,23.17
Advanced,4,Technology 1,2032,22.82
Advanced,4,Technology 1,2033,22.48
Advanced,4,Technology 1,2034,22.14
Advanced,4,Technology 1,2035,21.79
Advanced,4,Technology 1,2036,21.45
Advanced,4,Technology 1,2037,21.11
Advanced,4,Technology 1,2038,20.77
Advanced,4,Technology 1,2039,20.43
Advanced,4,Technology 1,2040,20.09
Advanced,4,Technology 1,2041,19.75
Advanced,4,Technology 1,2042,19.41
Advanced,4,Technology 1,2043,19.07
Advanced,4,Technology 1,2044,18.73
Advanced,4,Technology 1,2045,18.39
Advanced,4,Technology 1,2046,18.06
Advanced,4,Technology 1,2047,17.72
Advanced,4,Technology 1,2048,17.38
Advanced,4,Technology 1,2049,17.05
Advanced,4,Technology 1,2050,16.71
Moderate,4,Technology 1,2022,33.04
Moderate,4,Technology 1,2023,34.47
Moderate,4,Technology 1,2024,32.5
Moderate,4,Technology 1,2025,30.6
Moderate,4,Technology 1,2026,29.81
Moderate,4,Technology 1,2027,29.03
Moderate,4,Technology 1,2028,28.27
Moderate,4,Technology 1,2029,27.51
Moderate,4,Technology 1,2030,26.76
Moderate,4,Technology 1,2031,26.49
Moderate,4,Technology 1,2032,26.22
Moderate,4,Technology 1,2033,25.94
Moderate,4,Technology 1,2034,25.67
Moderate,4,Technology 1,2035,25.39
Moderate,4,Technology 1,2036,25.12
Moderate,4,Technology 1,2037,24.85
Moderate,4,Technology 1,2038,24.58
Moderate,4,Technology 1,2039,24.31
Moderate,4,Technology 1,2040,24.03
Moderate,4,Technology 1,2041,23.76
Moderate,4,Technology 1,2042,23.49
Moderate,4,Technology 1,2043,23.22
Moderate,4,Technology 1,2044,22.96
Moderate,4,Technology 1,2045,22.69
Moderate,4,Technology 1,2046,22.42
Moderate,4,Technology 1,2047,22.15
Moderate,4,Technology 1,2048,21.88
Moderate,4,Technology 1,2049,21.62
Moderate,4,Technology 1,2050,21.35
Conservative,4,Technology 1,2022,33.25
Conservative,4,Technology 1,2023,35.31
Conservative,4,Technology 1,2024,33.88
Conservative,4,Technology 1,2025,32.47
Conservative,4,Technology 1,2026,32.22
Conservative,4,Technology 1,2027,31.96
Conservative,4,Technology 1,2028,31.7
Conservative,4,Technology 1,2029,31.45
Conservative,4,Technology 1,2030,31.19
Conservative,4,Technology 1,2031,30.96
Conservative,4,Technology 1,2032,30.73
Conservative,4,Technology 1,2033,30.5
Conservative,4,Technology 1,2034,30.26
Conservative,4,Technology 1,2035,30.03
Conservative,4,Technology 1,2036,29.8
Conservative,4,Technology 1,2037,29.57
Conservative,4,Technology 1,2038,29.35
Conservative,4,Technology 1,2039,29.12
Conservative,4,Technology 1,2040,28.89
Conservative,4,Technology 1,2041,28.66
Conservative,4,Technology 1,2042,28.44
Conservative,4,Technology 1,2043,28.21
Conservative,4,Technology 1,2044,27.98
Conservative,4,Technology 1,2045,27.76
Conservative,4,Technology 1,2046,27.53
Conservative,4,Technology 1,2047,27.31
Conservative,4,Technology 1,2048,27.09
Conservative,4,Technology 1,2049,26.86
Conservative,4,Technology 1,2050,26.64
